epoch,train_loss,test_loss,train_accuracy,test_accuracy,gradient_norm,parameter_norm
1,0.2999547200504483,0.306674266418814,0.9115646258503401,0.9067055393586005,0.6362977893331221,7.675449515071043
10,0.0028119569442540144,0.004225791327176192,1.0,1.0,0.02502558972504682,9.714203364296838
20,0.0004993974273307161,0.001597041778848546,1.0,1.0,0.00023682144856420606,10.299335112562916
30,0.00021896727249463542,0.0010474029607243644,1.0,1.0,0.007601147442881043,10.552129827645315
40,0.00012506012698957968,0.0007161079857529223,1.0,1.0,2.1712816831713184e-05,10.719904106470162
50,8.11809707585198e-05,0.0005395086734864427,1.0,1.0,0.00011828921892115596,10.848716965973754
60,5.6292113664223035e-05,0.0004984411756606346,1.0,1.0,0.0063519327942898225,10.958162301487231
70,4.103544034669477e-05,0.00035900336564071594,1.0,1.0,0.0006666672816121978,11.049589260983717
80,3.160542253314244e-05,0.0003078680287654025,1.0,1.0,1.8650527733197853e-05,11.130129189707908
90,2.591890827077101e-05,0.00023676398609205957,1.0,1.0,2.317349261322216e-07,11.205276633073032
100,1.9048341200032357e-05,0.00022485279840370748,1.0,1.0,0.000927212465465614,11.272354470307816
110,1.5434558619555627e-05,0.0001573812938769847,1.0,1.0,1.8906622983183993e-05,11.331991309774555
120,1.2769417537112003e-05,0.00015161468693196932,1.0,1.0,5.92943906191452e-05,11.383099425108762
130,1.0647257305775683e-05,0.00014201306136080947,1.0,1.0,2.2600391073068322e-06,11.434044139120495
140,9.217767525658796e-06,0.00011504740169506486,1.0,1.0,8.29653560669505e-05,11.486618614276743
150,7.484176925036654e-06,0.00012195829693532348,1.0,1.0,0.0001023001681309514,11.530073539217467
160,6.404507220289791e-06,9.618364356347357e-05,1.0,1.0,3.18752940092283e-08,11.570712192765775
170,5.514392347634532e-06,8.934808620801993e-05,1.0,1.0,1.0575777029927187e-05,11.61008158438509
180,4.775390947912735e-06,8.399408529217153e-05,1.0,1.0,8.279297584416861e-08,11.647614533939759
190,4.137259583407295e-06,7.244320880057015e-05,1.0,1.0,1.6283729576266198e-05,11.687988619034817
200,3.5683618688227775e-06,6.477760739195599e-05,1.0,1.0,8.130727422041764e-08,11.724872481309692
210,3.105700442418095e-06,5.616382509038481e-05,1.0,1.0,5.025596466070275e-06,11.75902635259468
220,2.741238952991716e-06,5.0919194883174646e-05,1.0,1.0,4.489904646582e-06,11.79023596337454
230,2.4318401416233557e-06,4.495907571589711e-05,1.0,1.0,1.2384255593760876e-05,11.820647240936003
240,2.156910338176358e-06,4.205599745996284e-05,1.0,1.0,1.9277670919490385e-07,11.85103993655995
250,1.9079555534177044e-06,3.502920727591517e-05,1.0,1.0,1.299555864299749e-06,11.882942813223657
260,1.6993105048390822e-06,3.2300879107144386e-05,1.0,1.0,1.692970409937234e-09,11.911258731895868
270,1.5046023277016438e-06,2.641395253651214e-05,1.0,1.0,8.000626735570021e-08,11.943323051183855
280,1.3322927600692294e-06,2.5326401347782416e-05,1.0,1.0,1.8903869871725229e-06,11.972694639705498
290,1.1966127408092633e-06,2.411765453312007e-05,1.0,1.0,8.136571415190543e-07,12.00060242533301
300,1.068400441231708e-06,2.1771595910053025e-05,1.0,1.0,0.00012887377352478917,12.026909440079217
310,9.530518223614897e-07,2.0724941709583587e-05,1.0,1.0,0.00041267254678878433,12.05475019313358
320,8.500221671949757e-07,1.7563859781190956e-05,1.0,1.0,2.365849028135543e-06,12.082075977233014
330,7.649791457774822e-07,1.5465320807394747e-05,1.0,1.0,2.2764946882133968e-06,12.10703793582698
340,6.880923686134661e-07,1.3685523527103764e-05,1.0,1.0,8.652249266961616e-08,12.132146694982046
350,6.188827392803736e-07,1.255623576728687e-05,1.0,1.0,8.34775362726269e-05,12.156701110451383
