epoch,train_loss,test_loss,train_accuracy,test_accuracy,gradient_norm,parameter_norm
1,0.6380397397132472,0.6370358645512486,0.6793002915451894,0.6793002915451894,0.3041862580087539,4.837634386187765
10,0.04303245298596593,0.05314745672338497,0.9854227405247813,0.9737609329446064,0.05793506452630136,13.02511947021283
20,0.020614213134964005,0.028022955972974196,0.9941690962099126,0.9854227405247813,0.007298474956718958,15.451691943999363
30,0.012122941511798914,0.014971222018506149,0.9961127308066083,0.9941690962099126,0.1297271531173033,16.897776336421924
40,0.007189257826997226,0.007950009492175536,1.0,1.0,0.0003720025817242955,17.983552884605626
50,0.004206090520112271,0.005087574834416938,1.0,1.0,0.0010517987434550146,18.885993605846537
60,0.002602231001931002,0.002821559814699552,1.0,1.0,0.006904288265629551,19.66098000305999
70,0.001700180287721744,0.0017575165733252727,1.0,1.0,0.03622584292001557,20.255661395211746
80,0.00119461986593078,0.0011932378348659056,1.0,1.0,0.0003253190324611864,20.83192328196858
90,0.0008815302717669472,0.0007319822323749503,1.0,1.0,0.00021409074363253584,21.28216097022718
100,0.0006592194846240481,0.0006622268515442895,1.0,1.0,0.0008594281225177842,21.675318672945004
110,0.0005271434027770397,0.0005538036886973164,1.0,1.0,0.0001905646422571199,22.023488353805913
120,0.0004140360567799839,0.0003675021299247417,1.0,1.0,0.00023709101595111777,22.32197944280845
130,0.00034004635862227786,0.0002846495966263013,1.0,1.0,0.00020471923348824237,22.59605701411217
140,0.0002838816523266421,0.0002224769507520262,1.0,1.0,2.9313653142335195e-05,22.857819370561845
150,0.00023302442917178432,0.00022102283559505105,1.0,1.0,0.00027579139345378166,23.099330609221393
160,0.00019613317551808393,0.0001734514235971502,1.0,1.0,2.8228599147194835e-06,23.328470689816744
170,0.00016621833332221045,0.0001519170888318387,1.0,1.0,5.354354223357867e-05,23.537958494861993
180,0.00014234555090619435,0.00012652824159325716,1.0,1.0,2.852747347773499e-05,23.739956075839586
190,0.00012208901451161392,0.00010640930491963127,1.0,1.0,2.8219399058772587e-05,23.932314236315552
200,0.00010602650894801511,9.320706040844857e-05,1.0,1.0,4.65609725573936e-05,24.107594637846642
210,9.285170986656341e-05,7.71808275600323e-05,1.0,1.0,4.4149071192689516e-06,24.274166041907534
220,8.127574296251956e-05,7.481508884424309e-05,1.0,1.0,2.9852369715468592e-05,24.43877085142143
230,7.150463333449903e-05,6.138734702156157e-05,1.0,1.0,5.175487309145252e-05,24.5908132071248
240,6.302954831251419e-05,5.527104629747995e-05,1.0,1.0,4.270684079722505e-06,24.74326226964943
250,6.023647583233263e-05,4.1522010283050995e-05,1.0,1.0,7.208290065109119e-05,24.896284062486536
260,4.872439804840697e-05,4.327311045902086e-05,1.0,1.0,3.6699969578794746e-06,25.049923768327883
270,4.310398884516185e-05,3.5097815383282174e-05,1.0,1.0,6.1670853288166346e-06,25.198950030365403
280,3.825650902044858e-05,3.328367448239604e-05,1.0,1.0,0.0004033648879531381,25.336586432802836
290,3.4176892278120496e-05,2.820262031754543e-05,1.0,1.0,1.5211415378007442e-05,25.468832762979517
300,3.047292822695567e-05,2.616546047480491e-05,1.0,1.0,0.0008149557304188211,25.599328280844155
310,2.7340138569101366e-05,2.347865519515117e-05,1.0,1.0,0.0005681509951950955,25.729211013181146
320,2.4413920016102877e-05,2.119720252026114e-05,1.0,1.0,4.967530112833691e-05,25.85332287151298
330,2.2007228555090792e-05,1.87633158084833e-05,1.0,1.0,2.0685574156590116e-05,25.971327081257925
340,1.983618980575103e-05,1.7277063399803122e-05,1.0,1.0,7.650258481949474e-06,26.08787085501537
350,1.783783344432756e-05,1.59925406531901e-05,1.0,1.0,3.940723593315257e-05,26.212862579408405
