epoch,train_loss,test_loss,train_accuracy,test_accuracy,gradient_norm,parameter_norm
1,0.15735347079692327,0.1670763496249781,0.9601554907677357,0.9446064139941691,0.4527899469195208,5.095596428311657
10,0.007358532960001466,0.010113619809043854,0.9990281827016521,1.0,0.045609939606904557,7.519931620368693
20,0.0020002776155503155,0.0032265330680518196,1.0,1.0,7.474650157302936e-05,8.551467791104281
30,0.0005687174590053914,0.0008203080412574514,1.0,1.0,0.006650189331978008,9.125145219233016
40,0.00024819400018523174,0.00026730513307975584,1.0,1.0,8.102113516979738e-06,9.37780616563099
50,0.00015849300995973562,0.000166372948762455,1.0,1.0,2.957717870487468e-05,9.570794709187984
60,0.00010683125780946024,0.00011863823904689648,1.0,1.0,0.0005533034517141235,9.735197184109001
70,7.653802409312358e-05,8.567152450223165e-05,1.0,1.0,0.0034832416339683073,9.86338106924933
80,5.960438350163007e-05,5.3770131887092415e-05,1.0,1.0,1.2503618357631043e-05,9.979212297284251
90,4.342936854898994e-05,4.289502797747844e-05,1.0,1.0,3.955522984029761e-06,10.090043252264328
100,3.414876491441145e-05,4.013169531429269e-05,1.0,1.0,0.0003320953855838906,10.179877024631175
110,2.8089707326556835e-05,3.4096716156800813e-05,1.0,1.0,4.829471689799313e-05,10.261662449689423
120,2.2818185648225333e-05,2.5497225796413383e-05,1.0,1.0,7.893153283838254e-06,10.331115873941632
130,1.917952631142188e-05,2.0490650134693685e-05,1.0,1.0,3.6361603163329183e-06,10.397068040692957
140,1.6066072650828433e-05,1.7644354994312116e-05,1.0,1.0,6.920024495199446e-06,10.463306332515385
150,1.374658705462597e-05,1.605673773160529e-05,1.0,1.0,8.767707789919382e-05,10.521765798336471
160,1.1837847537606239e-05,1.3654685234727331e-05,1.0,1.0,6.691866719454712e-07,10.577529853885007
170,1.0259681151627785e-05,1.1952386626315929e-05,1.0,1.0,4.89019079553411e-05,10.630180692476088
180,8.971733839724208e-06,9.717537742784353e-06,1.0,1.0,3.502323443021897e-06,10.682215631665715
190,7.82491202005384e-06,8.559619718543952e-06,1.0,1.0,9.58120796031634e-07,10.731401356848675
200,6.882945692234948e-06,8.14442278289235e-06,1.0,1.0,2.4017870149610602e-06,10.77909871583556
210,6.090660283907358e-06,7.09897655074214e-06,1.0,1.0,2.7115016648692632e-06,10.823608679143936
220,5.423713503100538e-06,6.333326758764888e-06,1.0,1.0,2.4666788057613297e-05,10.86638010222877
230,4.843048638359098e-06,5.625068459191375e-06,1.0,1.0,3.2896032353610853e-06,10.907563716554154
240,4.325349494559047e-06,4.986486537571873e-06,1.0,1.0,3.317853725474506e-07,10.948976648332135
250,3.891459205103306e-06,4.817552152487495e-06,1.0,1.0,1.580075315588466e-05,10.992367615898702
260,3.4413028925214584e-06,4.018642880756698e-06,1.0,1.0,2.795051385489218e-07,11.0324484566439
270,3.0824254191729403e-06,3.364260219966581e-06,1.0,1.0,3.0249144795927345e-07,11.073969978952814
280,2.7619486026231004e-06,3.146950574765888e-06,1.0,1.0,5.481426844446051e-06,11.11305193012676
290,2.490906625400132e-06,2.796099366112821e-06,1.0,1.0,1.572002418730832e-05,11.150440916649139
300,2.250967314766409e-06,2.5976052166043137e-06,1.0,1.0,0.000289371080337217,11.187054683984494
310,2.0305704926614935e-06,2.2913045336497914e-06,1.0,1.0,4.8856105977835395e-05,11.224793726997756
320,1.836434760356449e-06,2.1663241093858786e-06,1.0,1.0,1.0593896296499114e-05,11.26107727996227
330,1.6661661316021867e-06,1.9050653039586596e-06,1.0,1.0,3.0960821095076447e-06,11.296246422795488
340,1.512743207526099e-06,1.7499966548537149e-06,1.0,1.0,4.2800035734982846e-07,11.331328569645091
350,1.3742637796637927e-06,1.5203364268460543e-06,1.0,1.0,6.512979125735264e-06,11.367360834172842
