experiment,setting,train_loss,test_loss,train_accuracy,test_accuracy,final_gradient_norm,epochs,method,loss,hidden_activation,max_relative_error,status,top_hessian_eigenvalue,hvp_method
activation,sigmoid,0.07795852577621329,0.06593081765949439,0.9644444444444444,0.9733333333333334,0.09262582380245692,350,,,,,,,
activation,tanh,0.07543009021085786,0.06847856977714956,0.9703703703703703,0.9688888888888889,0.43725147279323634,350,,,,,,,
activation,relu,0.04368121274029378,0.06452783478297816,0.9866666666666667,0.9644444444444444,0.3261895063750916,350,,,,,,,
activation,leaky_relu,0.042609735275938386,0.06594159479517149,0.9837037037037037,0.9644444444444444,0.27729846117844287,350,,,,,,,
gradient_validation,,,,,,,,finite_difference,mse,tanh,1.302864612021934e-09,passed,,
gradient_validation,,,,,,,,jax_autodiff,mse,tanh,,skipped: JAX is optional but required for autodiff validation and native HVPs. Install the dependencies in requirements.txt to enable this module.,,
gradient_validation,,,,,,,,finite_difference,binary_cross_entropy,tanh,1.5335673549967472e-10,passed,,
gradient_validation,,,,,,,,jax_autodiff,binary_cross_entropy,tanh,,skipped: JAX is optional but required for autodiff validation and native HVPs. Install the dependencies in requirements.txt to enable this module.,,
learning_rate,lr=0.0001,0.4484947849323434,0.48168727789046606,0.8414814814814815,0.7777777777777778,0.46293370707463954,300,,,,,,,
learning_rate,lr=0.001,0.31368884129732433,0.36853227064068794,0.8755555555555555,0.7911111111111111,0.15880813260777737,300,,,,,,,
learning_rate,lr=0.01,0.20910456332012026,0.2678755769839393,0.9081481481481481,0.8622222222222222,0.20507908850062115,300,,,,,,,
learning_rate,lr=0.1,0.06952362768987914,0.12386245774769596,0.9688888888888889,0.9511111111111111,0.230781901303564,300,,,,,,,
learning_rate,lr=1,0.06053314278592183,0.133780574486345,0.9762962962962963,0.96,0.1965101539384464,300,,,,,,,
architecture,2-4-1,0.2576477770224838,0.2738915408849018,0.8844444444444445,0.8622222222222222,0.032899269500741526,350,,,,,,,
architecture,2-16-1,0.07267202798514874,0.06996249214965256,0.9718518518518519,0.9822222222222222,0.08342051851268757,350,,,,,,,
architecture,2-16-16-1,0.07549889911876313,0.1017897269024553,0.9733333333333334,0.9644444444444444,0.26938580944127527,350,,,,,,,
architecture,2-32-32-16-1,0.047683065703492455,0.15759741258039228,0.9762962962962963,0.9333333333333333,0.2259747235507717,350,,,,,,,
optimizer,"gd, lr=0.05",0.11176298443980633,0.06866893373996337,0.957037037037037,0.9733333333333334,0.24596493741759645,350,,,,,,,
optimizer,"momentum, lr=0.08",0.10507659414035928,0.06764396207173494,0.96,0.9733333333333334,0.29833370439829565,350,,,,,,,
optimizer,"adam, lr=0.01",0.07184307289442586,0.08390578991427203,0.965925925925926,0.9688888888888889,0.30619115626463256,350,,,,,,,
initialization,small_random,0.05011931080658828,0.06731146927874115,0.9777777777777777,0.9644444444444444,0.26081085537271653,350,,,,,,,
initialization,xavier,0.036963449216649194,0.17587601413147608,0.9837037037037037,0.9688888888888889,0.3377272001394153,350,,,,,,,
initialization,he,0.031540350950495906,0.21490661584911502,0.9851851851851852,0.9688888888888889,0.1910604257319895,350,,,,,,,
hessian,"ReLU, GD, He init",0.10571907794575451,0.10805337750172472,0.9585798816568047,0.9642857142857143,0.12602038753770772,300,,,,,,1.6244820204278112,finite_difference_hvp_numpy
hessian,"ReLU, Momentum, He init",0.08679187226295754,0.08301871530376724,0.9704142011834319,0.9642857142857143,0.16592238104441254,300,,,,,,2.177927164473757,finite_difference_hvp_numpy
hessian,"ReLU, Adam, He init",0.05549616771749894,0.06031979540840999,0.9763313609467456,0.9642857142857143,0.33311345347798393,300,,,,,,4.033749335611421,finite_difference_hvp_numpy
hessian,"Tanh, Adam, Xavier init",0.08753061414472804,0.07511003857213751,0.9644970414201184,0.9732142857142857,0.26434140643507087,300,,,,,,6.304581445553196,finite_difference_hvp_numpy
hessian,"Leaky ReLU, Adam, He init",0.05537559875884363,0.06325193885547135,0.9733727810650887,0.9553571428571429,0.23934385282576018,300,,,,,,2.75949370982723,finite_difference_hvp_numpy
